"neighborhood","freq.status.Open","freq.status.Plant","freq.status.Unknown","count.status.Open","count.status.Plant","count.status.Unknown"
"Melvin C. Hazen Park",0.125,0.875,0,4,28,0
"Michigan Park",0.171,0.829,0,124,600,0
"Mt. Olivet Cemetery",0.317,0.683,0,13,28,0
"Mt. Pleasant",0.014,0.986,0,19,1299,0
"Mt. Vernon Square",0.048,0.952,0,21,418,0
"Mt. Vernon Triangle",0.054,0.946,0,29,513,0
"National Arboretum",0.1,0.9,0,2,18,0
"National Cathedral Grounds",0.054,0.946,0,6,105,0
"National Mall",0.069,0.931,0,10,135,0
"National Zoological Park",0.038,0.962,0,1,25,0
"Navy Yard",0.233,0.767,0,10,33,0
"Naylor Gardens",0.041,0.959,0,15,353,0
"Near Northeast",0.044,0.956,0,114,2493,0
"Near South East",0.03,0.97,0,27,860,0
"NoMa",0.042,0.958,0,24,542,0
"Normanstone Parkway",0,1,0,0,31,0
"North Cleveland Park",0.066,0.934,0,99,1392,0
"North Michigan Park",0.107,0.893,0,126,1057,0
"North Portal Estates",0.186,0.814,0,39,171,0
"Northeast Boundary",0.221,0.779,0,277,976,0
"Northwest One",0.052,0.948,0,18,325,0
"Northwest Rectangle",0.027,0.973,0,10,354,0
"Observatory Circle",0.027,0.973,0,14,514,0
"Old Soldiers Home",0.179,0.821,0,17,78,0
"Oxon Run Parkway",0.382,0.618,0,122,197,0
"Palisades",0.058,0.942,0,50,809,0
"Park Place/Cloisters",0.478,0.522,0,11,12,0
"Park View",0.005,0.995,0,3,595,0
"Parkside",0.19,0.81,0,51,218,0
"Penn Branch section of Dupont Park",0.083,0.917,0,55,608,0
"Pepco Benning Road Plant",0.267,0.733,0,8,22,0
"Petworth",0.094,0.906,0,439,4221,0
"Pinehurst Parkway",0,1,0,0,1,0
"Pleasant Hills",0.178,0.822,0,56,259,0
"Pleasant Plains",0.013,0.987,0,6,453,0
"Pope Branch Park",0.5,0.5,0,6,6,0
"Poplar Point",0.375,0.625,0,12,20,0
"Potomac Heights",0.07,0.93,0,31,414,0
"Queens Chapel",0.12,0.88,0,51,374,0
"Randle Highlands",0.116,0.884,0,95,723,0
"Reed-Cooke",0.019,0.981,0,12,608,0
"Riggs Park",0.114,0.886,0,188,1462,0
"River Terrace",0.117,0.883,0,70,526,0
"Rock Creek Cemetery",0.172,0.828,0,5,24,0
"Rock Creek Gardens",0.151,0.849,0,47,265,0
"Rock Creek Park (north)",0.168,0.832,0,16,79,0
"Rock Creek Park (south)",0.05,0.95,0,3,57,0
"Rock Creek and  Potomac Parkway",0.146,0.854,0,7,41,0
"Shaw",0.017,0.983,0,24,1401,0
"Shepherd Park",0.105,0.895,0,211,1808,0
"Shepherd Parkway",0.294,0.706,0,35,84,0
"Sheridan-Kalorama",0.035,0.965,0,37,1026,0
"Shipley Terrace",0.163,0.837,0,228,1173,0
"Sibley Hospital",0.083,0.917,0,3,33,0
"Skyland",0.171,0.829,0,61,295,0
"Soapstone Valley Park",1,0,0,1,0,0
"Southwest Federal Center",0.08,0.92,0,59,676,0
"Southwest Waterfront",0.027,0.973,0,41,1490,0
"Spring Valley",0.079,0.921,0,116,1347,0
"St. Elizabeths Hospital East",0.131,0.869,0,8,53,0
"St. Elizabeths Hospital West",0.038,0.962,0,2,51,0
"Stadium/Armory Area",0.062,0.938,0,5,75,0
"Strivers Section",0.007,0.993,0,3,399,0
"Stronghold",0.265,0.735,0,41,114,0
"Takoma",0.081,0.919,0,139,1581,0
"Tenleytown",0.089,0.911,0,81,827,0
"The Capitol Grounds",0.077,0.923,0,2,24,0
"Tidal Basin",NA,NA,NA,0,0,0
"Trinidad",0.166,0.834,0,231,1164,0
"Truxton Circle",0.083,0.917,0,55,611,0
"Twining",0.109,0.891,0,70,574,0
"U Street",0.015,0.985,0,21,1367,0
"Union Station",0,1,0,0,8,0
"University Heights",0.126,0.874,0,99,686,0
"Wakefield",0.039,0.961,0,30,742,0
"Walter Reed Medical Center",0.104,0.896,0,5,43,0
"Washington Hebrew Congregation Cemetery",0,1,0,0,9,0
"Washington Heights",0.016,0.984,0,5,304,0
"Washington Highlands",0.172,0.828,0,344,1659,0
"Washington Hospital Center",0.526,0.474,0,91,82,0
"Washington Monument Grounds",0,1,0,0,6,0
"Waterfront Georgetown",0.022,0.978,0,4,177,0
"Wesley Heights",0.056,0.944,0,55,934,0
"West End",0.018,0.982,0,7,390,0
"West Potomac Park",0,1,0,0,15,0
"West Village Georgetown",0.034,0.966,0,37,1058,0
"White House Grounds",0,1,0,0,44,0
"Whitehaven Parkway",0,1,0,0,9,0
"Woodland",0.142,0.858,0,17,103,0
"Woodland-Normanstone Terrace",0.098,0.902,0,52,478,0
"Woodlawn/Payne Cemetery",NA,NA,NA,0,0,0
"Woodley Park",0.03,0.97,0,39,1278,0
"Woodridge",0.148,0.852,0,469,2695,0
