"ward","freq.status.Open","freq.status.Plant","freq.status.Unknown"
"1",0.025,0.975,0
"2",0.04,0.96,0
"3",0.072,0.928,0
"4",0.104,0.895,0
"5",0.183,0.816,0
"6",0.058,0.942,0
"7",0.179,0.821,0
"8",0.174,0.826,0
